:START_ID,:END_ID,:TYPE
Q221668,Q71969,drug-used-for-treatment_DduftC
Q246084,Q71969,drug-used-for-treatment_DduftC
Q632522,Q71969,drug-used-for-treatment_DduftC
Q21979519,Q5276700,physically-interacts-with_PpiwC
Q18212180,Q758,has-part_ChpC
Q41861,Q929420,drug-used-for-treatment_DduftC
Q128861,Q929420,physically-interacts-with_PpiwC
Q19000661,Q929420,drug-used-for-treatment_DduftC
Q34879,Q417897,drug-used-for-treatment_DduftC
Q101896,Q417897,drug-used-for-treatment_DduftC
Q221668,Q417897,drug-used-for-treatment_DduftC
Q246084,Q417897,drug-used-for-treatment_DduftC
Q372752,Q417897,drug-used-for-treatment_DduftC
Q18558195,Q417897,drug-used-for-treatment_DduftC
Q19597369,Q417897,drug-used-for-treatment_DduftC
Q21132652,Q7120732,physically-interacts-with_PpiwC
Q15628081,Q1094,has-part_ChpC
Q12152,Q418857,drug-used-for-treatment_DduftC
Q41861,Q418857,drug-used-for-treatment_DduftC
Q287958,Q418857,physically-interacts-with_PpiwC
Q413987,Q1123,has-part_ChpC
Q18211726,Q876,has-part_ChpC
Q20979860,Q1087,has-part_ChpC
Q18211965,Q1105,has-part_ChpC
Q21112289,Q15634124,physically-interacts-with_PpiwC
Q21115219,Q15634124,physically-interacts-with_PpiwC
Q21118967,Q15634124,physically-interacts-with_PpiwC
Q254943,Q7681221,physically-interacts-with_PpiwC
Q6592965,Q7681221,physically-interacts-with_PpiwC
Q6592976,Q7681221,physically-interacts-with_PpiwC
Q21110933,Q418267,physically-interacts-with_PpiwC
Q21121466,Q418267,physically-interacts-with_PpiwC
Q21121490,Q418267,physically-interacts-with_PpiwC
Q21126205,Q418267,physically-interacts-with_PpiwC
Q21126214,Q418267,physically-interacts-with_PpiwC
Q21126242,Q418267,physically-interacts-with_PpiwC
Q21171763,Q418267,physically-interacts-with_PpiwC
Q21126773,Q418267,physically-interacts-with_PpiwC
Q21172741,Q418267,physically-interacts-with_PpiwC
Q34879,Q415167,drug-used-for-treatment_DduftC
