:END_ID,:START_ID,:TYPE
Q3589131,Q27677600,subclass-of_DsoD
Q18553438,Q18556682,subclass-of_DsoD
Q208414,Q18556882,subclass-of_DsoD
Q279330,Q18558272,subclass-of_DsoD
Q18553442,Q18554070,subclass-of_DsoD
Q18555940,Q7632441,subclass-of_DsoD
Q19000638,Q21154051,subclass-of_DsoD
Q550455,Q18554175,subclass-of_DsoD
Q220322,Q28024539,subclass-of_DsoD
Q18553440,Q18554789,subclass-of_DsoD
Q18557956,Q18556437,subclass-of_DsoD
Q3334995,Q18554614,subclass-of_DsoD
Q3542021,Q18557855,subclass-of_DsoD
Q2720759,Q5334319,subclass-of_DsoD
Q18554910,Q18552029,subclass-of_DsoD
Q18554893,Q18554836,subclass-of_DsoD
Q18555163,Q939364,subclass-of_DsoD
Q18555315,Q18556687,subclass-of_DsoD
Q18554211,Q18558038,subclass-of_DsoD
Q578994,Q5159188,subclass-of_DsoD
Q631361,Q18556972,subclass-of_DsoD
Q549534,Q4913982,subclass-of_DsoD
Q18555107,Q18556985,subclass-of_DsoD
Q18558133,Q1777118,subclass-of_DsoD
Q929737,Q18966403,subclass-of_DsoD
Q18556498,Q18557804,subclass-of_DsoD
Q18556870,Q21082501,subclass-of_DsoD
Q18555949,Q18554411,subclass-of_DsoD
Q1486140,Q18556733,subclass-of_DsoD
Q18555208,Q18556275,subclass-of_DsoD
Q19000577,Q21124538,subclass-of_DsoD
Q18556400,Q28024665,subclass-of_DsoD
Q3144913,Q21124539,subclass-of_DsoD
Q1344812,Q28024751,subclass-of_DsoD
Q18553679,Q845779,subclass-of_DsoD
Q531012,Q16892594,subclass-of_DsoD
Q18558086,Q18554655,subclass-of_DsoD
Q5959735,Q18558155,subclass-of_DsoD
Q18553310,Q1251847,subclass-of_DsoD
Q7577496,Q18557088,subclass-of_DsoD
Q192102,Q27677655,subclass-of_DsoD
Q3055380,Q742672,subclass-of_DsoD
Q18556496,Q298230,subclass-of_DsoD
Q127724,Q361648,subclass-of_DsoD
Q816798,Q5172199,subclass-of_DsoD
Q2936213,Q18556229,subclass-of_DsoD
Q3144913,Q18553956,subclass-of_DsoD
Q18556224,Q5609617,subclass-of_DsoD
Q18554727,Q5173263,subclass-of_DsoD
Q847057,Q18558223,subclass-of_DsoD
Q1282114,Q27164488,subclass-of_DsoD
Q18553643,Q21505502,subclass-of_DsoD
Q2736268,Q906492,subclass-of_DsoD
Q5508825,Q17002116,subclass-of_DsoD
Q18556435,Q18556159,subclass-of_DsoD
Q205764,Q18558069,subclass-of_DsoD
Q1266890,Q5376444,subclass-of_DsoD
Q18554919,Q18556845,subclass-of_DsoD
Q18556638,Q448768,subclass-of_DsoD
Q1821559,Q2964438,subclass-of_DsoD
Q4199106,Q7902651,subclass-of_DsoD
Q949302,Q18558008,subclass-of_DsoD
Q676191,Q27677798,subclass-of_DsoD
Q929737,Q18554847,subclass-of_DsoD
Q1898141,Q18557457,subclass-of_DsoD
Q1472,Q18556801,subclass-of_DsoD
Q576349,Q500695,subclass-of_DsoD
Q18554955,Q1172076,subclass-of_DsoD
Q18553440,Q588321,subclass-of_DsoD
Q18554796,Q1456403,subclass-of_DsoD
Q505142,Q18553923,subclass-of_DsoD
Q3043160,Q18555104,subclass-of_DsoD
Q18558103,Q18556453,subclass-of_DsoD
Q18557869,Q18556704,subclass-of_DsoD
Q550455,Q5322531,subclass-of_DsoD
Q3286546,Q738292,subclass-of_DsoD
Q18553309,Q18553867,subclass-of_DsoD
Q12252367,Q18553444,subclass-of_DsoD
Q18556531,Q27677634,subclass-of_DsoD
Q1755122,Q16526464,subclass-of_DsoD
Q1496114,Q1066061,subclass-of_DsoD
Q304601,Q18966598,subclass-of_DsoD
Q3269466,Q18556607,subclass-of_DsoD
Q18554942,Q18556720,subclass-of_DsoD
Q18555315,Q18966146,subclass-of_DsoD
Q847057,Q18557956,subclass-of_DsoD
Q18556752,Q18555166,subclass-of_DsoD
Q1898141,Q2336873,subclass-of_DsoD
Q751641,Q794026,subclass-of_DsoD
Q9002005,Q18557551,subclass-of_DsoD
Q18553310,Q18554477,subclass-of_DsoD
Q18555148,Q2501186,subclass-of_DsoD
Q5454124,Q16242752,subclass-of_DsoD
Q18557204,Q209369,subclass-of_DsoD
Q229256,Q18557681,subclass-of_DsoD
Q172341,Q27674751,subclass-of_DsoD
Q18556143,Q21515257,subclass-of_DsoD
Q18553653,Q21154066,subclass-of_DsoD
Q650766,Q1759514,subclass-of_DsoD
