:ID,identifier:String,name:String,:LABEL
Q221668,Q221668,acute cystitis,Disease
Q246084,Q246084,cystitis,Disease
Q632522,Q632522,bacteriuria,Disease
Q21979519,Q21979519,Solute carrier family 29 member 1 (Augustine blood group),Protein
Q18212180,Q18212180,Q18212180,Compound
Q41861,Q41861,hypertension,Disease
Q128861,Q128861,Angiotensin I converting enzyme,Protein
Q19000661,Q19000661,congestive heart failure,Disease
Q34879,Q34879,Staphylococcal infection,Disease
Q101896,Q101896,gonorrhea,Disease
Q372752,Q372752,prostatitis,Disease
Q18558195,Q18558195,bacterial conjunctivitis,Disease
Q19597369,Q19597369,Gram-negative bacterial infection,Disease
Q21132652,Q21132652,G protein-coupled receptor 119,Protein
Q15628081,Q15628081,Q15628081,Compound
Q12152,Q12152,myocardial infarction,Disease
Q287958,Q287958,Adrenoceptor beta 1,Protein
Q413987,Q413987,tantalum pentachloride,Compound
Q18211726,Q18211726,Q18211726,Compound
Q20979860,Q20979860,Q20979860,Compound
Q18211965,Q18211965,Q18211965,Compound
Q21112289,Q21112289,Nuclear receptor subfamily 1 group H member 3,Protein
Q21115219,Q21115219,Nuclear receptor subfamily 1 group H member 2,Protein
Q21118967,Q21118967,G protein-coupled receptor 183,Protein
Q254943,Q254943,Retinoic acid receptor alpha,Protein
Q6592965,Q6592965,Retinoic acid receptor gamma,Protein
Q6592976,Q6592976,Retinoic acid receptor beta,Protein
Q21110933,Q21110933,G protein-coupled receptor 63,Protein
Q21121466,Q21121466,Sphingosine-1-phosphate receptor 2,Protein
Q21121490,Q21121490,Sphingosine-1-phosphate receptor 3,Protein
Q21126205,Q21126205,Sphingosine-1-phosphate receptor 4,Protein
Q21126214,Q21126214,Sphingosine-1-phosphate receptor 1,Protein
Q21126242,Q21126242,Sphingosine-1-phosphate receptor 5,Protein
Q21171763,Q21171763,G protein-coupled receptor 12,Protein
Q21126773,Q21126773,Purinergic receptor P2Y10,Protein
Q21172741,Q21172741,G protein-coupled receptor 3,Protein
Q223254,Q223254,otitis media,Disease
Q2085267,Q2085267,pharyngitis,Disease
Q3776920,Q3776920,bacterial pneumonia,Disease
Q15632694,Q15632694,isocyanatotrimethylsilane,Compound
Q184559,Q184559,arteriosclerosis,Disease
Q844935,Q844935,coronary artery disease,Disease
Q7169506,Q7169506,Peroxisome proliferator activated receptor alpha,Protein
Q18554145,Q18554145,familial hyperlipidemia,Disease
Q49970,Q49970,hyperuricemia,Disease
Q18212047,Q18212047,Q18212047,Compound
Q4063726,Q4063726,Q4063726,Compound
Q165328,Q165328,osteoporosis,Disease
Q1474877,Q1474877,hypercalcemia,Disease
Q21121716,Q21121716,Nitric oxide synthase 1,Protein
Q420470,Q420470,Cystic fibrosis transmembrane conductance regulator,Protein
Q11085,Q11085,Parkinson's disease,Disease
Q418781,Q418781,Catechol-O-methyltransferase,Protein
Q190865,Q190865,potassium permanganate,Compound
Q261261,Q261261,mercuric sulfate,Compound
Q415271,Q415271,Erb-b2 receptor tyrosine kinase 2,Protein
Q424401,Q424401,Epidermal growth factor receptor,Protein
Q21173485,Q21173485,Hydroxycarboxylic acid receptor 2,Protein
Q1949517,Q1949517,5-hydroxytryptamine receptor 2A,Protein
Q4639596,Q4639596,5-hydroxytryptamine receptor 2B,Protein
Q21108118,Q21108118,5-hydroxytryptamine receptor 2C,Protein
Q21115051,Q21115051,5-hydroxytryptamine receptor 1E,Protein
Q21115052,Q21115052,5-hydroxytryptamine receptor 1F,Protein
Q2819188,Q2819188,Angiotensin II receptor type 1,Protein
Q21119156,Q21119156,Inosine monophosphate dehydrogenase 2,Protein
Q21119157,Q21119157,Inosine monophosphate dehydrogenase 1,Protein
Q420183,Q420183,trimethylchlorosilane,Compound
Q417040,Q417040,stannane,Compound
Q4822488,Q4822488,Aurora kinase A,Protein
Q4332868,Q4332868,Q4332868,Compound
Q544006,Q544006,anxiety disorder,Disease
Q980709,Q980709,status epilepticus,Disease
Q18554191,Q18554191,visual epilepsy,Disease
Q20986106,Q20986106,Q20986106,Compound
Q7671477,Q7671477,Transient receptor potential cation channel subfamily M member 2,Protein
Q268667,Q268667,atopic dermatitis,Disease
Q2034004,Q2034004,Dopamine receptor D2,Protein
Q21110872,Q21110872,Dopamine receptor D3,Protein
Q815819,Q815819,atrial fibrillation,Disease
Q6589868,Q6589868,Glutamate metabotropic receptor 6,Protein
Q6590408,Q6590408,Glutamate metabotropic receptor 8,Protein
Q21113349,Q21113349,Glutamate metabotropic receptor 4,Protein
Q182155,Q182155,herpes zoster,Disease
Q6473911,Q6473911,herpes simplex,Disease
Q7476596,Q7476596,genital herpes,Disease
Q18212088,Q18212088,Q18212088,Compound
Q18211947,Q18211947,Q18211947,Compound
Q4214597,Q4214597,Q4214597,Compound
Q486485,Q486485,Anasarca,Disease
Q504790,Q504790,nephrotic syndrome,Disease
Q1486720,Q1486720,Glutamate ionotropic receptor AMPA type subunit 3,Protein
Q7553281,Q7553281,Solute carrier family 12 member 3,Protein
Q21115961,Q21115961,Glutamate ionotropic receptor AMPA type subunit 1,Protein
Q21115962,Q21115962,Glutamate ionotropic receptor AMPA type subunit 2,Protein
Q21115965,Q21115965,Glutamate ionotropic receptor AMPA type subunit 4,Protein
Q4463313,Q4463313,Q4463313,Compound
Q4445865,Q4445865,Q4445865,Compound
Q5520260,Q5520260,Gamma-aminobutyric acid type A receptor alpha1 subunit,Protein
Q4332897,Q4332897,Q4332897,Compound
Q15628183,Q15628183,Q15628183,Compound
Q128581,Q128581,breast cancer,Disease
Q172341,Q172341,ovarian cancer,Disease
Q372701,Q372701,esophageal cancer,Disease
Q504775,Q504775,urinary bladder cancer,Disease
Q549534,Q549534,osteosarcoma,Disease
Q1783924,Q1783924,head and neck cancer,Disease
Q18555222,Q18555222,endometrial carcinoma,Disease
Q18556002,Q18556002,central nervous system cancer,Disease
Q18556020,Q18556020,lung benign neoplasm,Disease
Q18556569,Q18556569,bone marrow disease,Disease
Q18557394,Q18557394,embryonal cancer,Disease
Q411386,Q411386,selenium dioxide,Compound
Q21109363,Q21109363,5-hydroxytryptamine receptor 6,Protein
Q5445,Q5445,anemia,Disease
Q416601,Q416601,Androgen receptor,Protein
Q17352129,Q17352129,tetraisocyanatosilane,Compound
Q21126777,Q21126777,Purinergic receptor P2Y2,Protein
Q21126779,Q21126779,Pyrimidinergic receptor P2Y4,Protein
Q16655234,Q16655234,Q16655234,Compound
Q5629167,Q5629167,Histone deacetylase 1,Protein
Q21154358,Q21154358,Histone deacetylase 3,Protein
Q21173381,Q21173381,Histone deacetylase 6,Protein
Q21173406,Q21173406,Histone deacetylase 8,Protein
Q288797,Q288797,5-hydroxytryptamine receptor 1B,Protein
Q21108125,Q21108125,5-hydroxytryptamine receptor 3A,Protein
Q21115046,Q21115046,5-hydroxytryptamine receptor 1D,Protein
Q15628235,Q15628235,Q15628235,Compound
Q18211949,Q18211949,Q18211949,Compound
Q4445877,Q4445877,rhenium(VII) sulfide,Compound
Q187255,Q187255,rheumatoid arthritis,Disease
Q1641132,Q1641132,malignant hypertension,Disease
Q790971,Q790971,Bartter disease,Disease
Q5773155,Q5773155,Histone deacetylase 2,Protein
Q5773160,Q5773160,Histone deacetylase 5,Protein
Q21140676,Q21140676,Histone deacetylase 11,Protein
Q21157551,Q21157551,Histone deacetylase 10,Protein
Q21173427,Q21173427,Histone deacetylase 9,Protein
Q16524834,Q16524834,Q16524834,Compound
Q2844056,Q2844056,Cholinergic receptor muscarinic 3,Protein
Q4847900,Q4847900,Cholinergic receptor muscarinic 1,Protein
